ds	vid	docid	20191224	20191225	20191226	20191227
20191223	1688849967284571	w2_AFsAAQZhAAYA0Uf2qOHQbOxFyfKEP	1688849967284571	\N	\N	1688849967284571
20191223	1688849967284571	w2_AFsAAQZhAAYA0Uf2qOHQbOxFyfKEP	1688849967284571	\N	\N	1688849967284571
20191223	1688849967284571	w2_AFsAAQZhAAYA0Uf2qOHQbOxFyfKEP	1688849967284571	\N	\N	1688849967284571
20191223	1688849967284571	w2_AFsAAQZhAAYA0Uf2qOHQbOxFyfKEP	1688849967284571	\N	\N	1688849967284571
20191224	1688849967322170	w2_ADoAlAZhAAYGPs5UMk9QxyoA1VR00	1688849967322170	\N	\N	\N
20191224	1688849967322170	w2_ADoAlAZhAAYGPs5UMk9QxyoA1VR00	1688849967322170	\N	\N	\N
20191224	1688849967322170	e2_ADoAlAZhAAYDiX8KVTySgy0XtvsFl	1688849967322170	\N	\N	\N
20191224	1688849967322170	e2_ADoAlAZhAAYDiX8KVTySgy0XtvsFl	1688849967322170	\N	\N	\N
20191224	1688849967322170	e2_ADoAlAZhAAYfC9q84z1S2WnBl24We	1688849967322170	\N	\N	\N
20191224	1688849967322170	e2_ADoAlAZhAAYfC9q84z1S2WnBl24We	1688849967322170	\N	\N	\N
20191224	1688849967366576	w2_ALAAQQZiAAYmp0KVjQjRFaHPcK6pL	1688849967366576	\N	\N	\N
20191224	1688849967366576	w2_ALAAQQZiAAYmp0KVjQjRFaHPcK6pL	1688849967366576	\N	\N	\N
20191224	1688849968455217	w2_ADEA3gZyAAY1k8Shue5Rs6NfmNvRq	1688849968455217	\N	\N	\N
20191223	1688849971869838	w2_AI4A_AamAAYrRrLu1UjTRuFWUa5qR	\N	\N	\N	\N
20191224	1688849971875429	e2_AGUADganAAYy1aLpgLZQk0FgkIshh	1688849971875429	\N	\N	\N
20191224	1688849971875429	e2_AGUADganAAYy1aLpgLZQk0FgkIshh	1688849971875429	\N	\N	\N
20191224	1688849971875429	w2_AGUADganAAYt630CawRTH6eWnE0BC	1688849971875429	\N	\N	\N
20191224	1688849971875429	w2_AGUADganAAYt630CawRTH6eWnE0BC	1688849971875429	\N	\N	\N
20191224	1688849971875480	e2_AJgADganAAYzyAPr2c1R3eANjKFDc	1688849971875480	\N	\N	\N
20191223	1688849972273742	e2_AE4AIgatAAYM4jTmG1BRrut3ek6oS	\N	\N	1688849972273742	\N
20191223	1688849972273742	e2_AE4AIgatAAYM4jTmG1BRrut3ek6oS	\N	\N	1688849972273742	\N
20191224	1688849972299963	e2_ALsAiAatAAYBjDknFjmRXa4AFX2q8	1688849972299963	\N	\N	1688849972299963
20191224	1688849972299963	e2_ALsAiAatAAY0sdu2xbATHqY7tsv18	1688849972299963	\N	\N	1688849972299963
20191223	1688849972326283	e2_AIsA7watAAYJrf3GCjeQO615h22ob	1688849972326283	\N	1688849972326283	1688849972326283
20191223	1688849972326283	e2_AIsA7watAAYYSVFZGJPQpi060B0bC	1688849972326283	\N	1688849972326283	1688849972326283
20191224	1688849972343320	w2_ABgAMgauAAYZo8otDRJTemq7irlIW	1688849972343320	\N	\N	\N
20191223	1688849972349547	w2_AGsASgauAAYkY41bpzJTuCDTmK7rj	\N	\N	\N	\N
20191223	1688849972354447	w2_AI8AXQauAAYj40w5m7eTEqKBiqpvf	\N	\N	1688849972354447	1688849972354447
20191223	1688849972354447	e2_AI8AXQauAAYJx8Sx5hYRo2Pf9jdVu	\N	\N	1688849972354447	1688849972354447
20191224	1688849972380002	w2_AGIAwQauAAY1Jq23hvMThK1hsZ6TS	1688849972380002	1688849972380002	1688849972380002	1688849972380002
20191224	1688849972380317	w2_AJ0AwgauAAYzT8pCyfpT0KRiBw0Wp	1688849972380317	\N	\N	\N
20191223	1688849972382153	e2_AMkAyQauAAYrCBtQ2v0Qail9wJjdE	\N	\N	1688849972382153	\N
20191224	1688849972382833	w2_AHEAzAauAAY31nrNEjQR3uB0t250l	1688849972382833	\N	\N	\N
20191224	1688849972382833	e2_AHEAzAauAAYYEU8fhp0SsWgTusG2b	1688849972382833	\N	\N	\N
20191224	1688849973376730	w2_ANoA9ga9AAYCV8ikL20R6650vRMsl	1688849973376730	\N	\N	\N
20191223	1688849973395228	e2_ABwAPwa_AAYtVUPzIAAQmmflDmAfR	\N	\N	\N	\N
20191224	1688849973411698	w2_AHIAfwa_AAYcbywneH2QUq5UUVIPI	1688849973411698	\N	\N	\N
20191224	1688849973411698	e2_AHIAfwa_AAYqZJIqtAsT9m3mYTwWn	1688849973411698	\N	\N	\N
20191223	1688849973418880	w2_AIAAmwa_AAY9bYF8v11Q4Op5vI2hP	\N	\N	\N	\N
20191224	1688849973425252	w2_AGQAtAa_AAYYqM3ApRHSjWgGNbvAa	1688849973425252	1688849973425252	\N	\N
20191224	1688849973425252	w2_AGQAtAa_AAYX4LGdzEdQ9a3SrGWG1	1688849973425252	1688849973425252	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAYW0hr48wxR1KrWUCOGJ	1688849974427598	\N	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAYW0hr48wxR1KrWUCOGJ	1688849974427598	\N	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAYqH7eyHKeRQ6Xh9XQGO	1688849974427598	\N	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAYqH7eyHKeRQ6Xh9XQGO	1688849974427598	\N	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAY08W9qYXsTymAEjujso	1688849974427598	\N	\N	\N
20191224	1688849974427598	w2_AM4A-wbNAAY08W9qYXsTymAEjujso	1688849974427598	\N	\N	\N
20191224	1688849975451288	e2_AJgAngbdAAYNTpVPLIiRAK2Jd7KhZ	1688849975451288	\N	\N	\N
20191224	1688849975451288	e2_AJgAngbdAAYNTpVPLIiRAK2Jd7KhZ	1688849975451288	\N	\N	\N
20191223	1688849976295092	w2_ALQAfgbqAAYKqBwqISpRMCvI1p5b2	\N	\N	\N	\N
20191223	1688849976313231	w2_AI8AxQbqAAYo8h7PdsATRuuKNoyPP	1688849976313231	\N	\N	\N
20191223	1688849976313231	e2_AI8AxQbqAAYBEm92y81TA0dPFXDcE	1688849976313231	\N	\N	\N
20191223	1688849976440239	e2_AK8AtQbsAAYN2CXpL5WQq6RmGvnYl	\N	\N	\N	\N
20191224	1688849978400761	w2_APkAnwYKAAcb3WL61r6SkGI4uQ945	1688849978400761	\N	\N	\N
20191224	1688849979398051	w2_AKMA1wYZAAcy2VdNG9tQmScbFixGq	1688849979398051	\N	\N	\N
20191224	1688849979398051	w2_AKMA1wYZAAcy2VdNG9tQmScbFixGq	1688849979398051	\N	\N	\N
20191223	1688849980296868	w2_AKQAjgYnAAcvvABerkFQei7NdTkNc	\N	\N	\N	\N
20191223	1688849980514846	e2_AB4A4gYqAAcRJrZqLG3RS6FQl826q	\N	\N	1688849980514846	\N
20191223	1688849980514846	e2_AB4A4gYqAAcRJrZqLG3RS6FQl826q	\N	\N	1688849980514846	\N
20191223	1688849980514846	w2_AB4A4gYqAAcS4TM8F1VQFiihLNyOB	\N	\N	1688849980514846	\N
20191223	1688849980514846	w2_AB4A4gYqAAcS4TM8F1VQFiihLNyOB	\N	\N	1688849980514846	\N
20191223	1688849980526017	w2_AMEADQYrAAcEqLo4Z0mRVWIgi6Ghb	\N	\N	\N	\N
20191223	1688849981544629	e2_ALUAmAY6AAcPIqJqb5nSXO1yuBaVv	1688849981544629	\N	\N	\N
20191223	1688849981557286	e2_ACYAygY6AAcUYiDLFTRSBOKsu00hG	\N	\N	\N	\N
20191223	1688849981557286	w2_ACYAygY6AAcu0DStTPmSsS0UEZY0Q	\N	\N	\N	\N
20191223	1688849981557286	e2_ACYAygY6AAcgolnwkBHSgS9itpUIz	\N	\N	\N	\N
20191223	1688849981557286	e2_ACYAygY6AAc6TTDXA1MSpKHQIcmXO	\N	\N	\N	\N
20191223	1688849981557286	e2_ACYAygY6AAcFM66mETIRUu8Nt5kWC	\N	\N	\N	\N
20191223	1688849981587027	w2_AFMAPgY7AAcZuoYQNxASYqTKdwB9z	\N	\N	\N	\N
20191223	1688849981587405	e2_AM0APwY7AAcUkCAj1jXR0uLRef4RH	1688849981587405	1688849981587405	\N	1688849981587405
20191223	1688849981587405	w2_AM0APwY7AAcESlwt8wvQ4GKVZD3s1	1688849981587405	1688849981587405	\N	1688849981587405
20191223	1688849981587405	w2_AM0APwY7AAcWJREBFrwTZCQBAxlq9	1688849981587405	1688849981587405	\N	1688849981587405
20191223	1688849981587405	e2_AM0APwY7AAc8ekjCNePS0uhD3li0B	1688849981587405	1688849981587405	\N	1688849981587405
20191224	1688849981588720	e2_APAARAY7AAcRZ9j0hslQM6bo2Ievm	1688849981588720	\N	\N	1688849981588720
20191223	1688849981589174	e2_ALYARgY7AAcy08QdAvzSfmXb0OU1X	\N	\N	\N	\N
20191223	1688849982410920	w2_AKgA0AZHAAcHuHVmxIrTMGKZ0jmIw	1688849982410920	\N	\N	\N
20191223	1688849982410920	w2_AKgA0AZHAAc1q9ytudWSeytd2ax5l	1688849982410920	\N	\N	\N
20191223	1688849983443026	w2_AFIAkAZXAAcjk4UcGXsRhWbXibpXA	1688849983443026	1688849983443026	\N	\N
20191224	1688849983726276	e2_AMQA4gZbAAc2ItwB4EbSI2HidR1d0	1688849983726276	\N	\N	\N
20191223	1688849983762334	e2_AJ4AbwZcAAc2HsZlB4WQqmD30fQB7	\N	\N	\N	\N
20191224	1688849983768952	w2_AHgAiQZcAAcB70fpZEsTd0qVMaJuy	1688849983768952	\N	\N	\N
20191224	1688849983787288	w2_ABgA0QZcAAc8ffS7BOrTUqX2pQVK8	1688849983787288	\N	\N	\N
20191224	1688849983787288	w2_ABgA0QZcAAc8ffS7BOrTUqX2pQVK8	1688849983787288	\N	\N	\N
20191224	1688849983787288	w2_ABgA0QZcAAc1GyNvak8SbGIRXwNau	1688849983787288	\N	\N	\N
20191224	1688849983787288	w2_ABgA0QZcAAc1GyNvak8SbGIRXwNau	1688849983787288	\N	\N	\N
20191224	1688849983807168	e2_AMAAHgZdAAcIpyU5vWbT3SoS0cIrH	1688849983807168	\N	1688849983807168	1688849983807168
20191224	1688849983807168	e2_AMAAHgZdAAcIpyU5vWbT3SoS0cIrH	1688849983807168	\N	1688849983807168	1688849983807168
20191224	1688849983807168	e2_AMAAHgZdAAcIpyU5vWbT3SoS0cIrH	1688849983807168	\N	1688849983807168	1688849983807168
20191224	1688849983807168	e2_AMAAHgZdAAcIpyU5vWbT3SoS0cIrH	1688849983807168	\N	1688849983807168	1688849983807168
20191224	1688849983807342	w2_AG4AHwZdAAcpcjwOOqkRm2RZYwfKW	1688849983807342	\N	\N	\N
20191224	1688849983807342	w2_AG4AHwZdAAcpcjwOOqkRm2RZYwfKW	1688849983807342	\N	\N	\N
20191224	1688849984269953	e2_AIEALgZkAAcorE49MxBSRyuhMkTlY	1688849984269953	\N	1688849984269953	\N
20191224	1688849984269953	e2_AIEALgZkAAcorE49MxBSRyuhMkTlY	1688849984269953	\N	1688849984269953	\N
20191224	1688849984269953	e2_AIEALgZkAAcSBXsxcbgQEe2YpyiZS	1688849984269953	\N	1688849984269953	\N
20191224	1688849984269953	e2_AIEALgZkAAcSBXsxcbgQEe2YpyiZS	1688849984269953	\N	1688849984269953	\N
20191224	1688849984269953	e2_AIEALgZkAAclNakYixRR16rwk8zzG	1688849984269953	\N	1688849984269953	\N
