ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688850024335748		1688850024335748	\N	\N	1688850024335748
20191223	1688850024347333		1688850024347333	1688850024347333	1688850024347333	1688850024347333
20191223	1688850024357291		\N	\N	\N	\N
20191223	1688850024362834		\N	\N	\N	\N
20191224	1688850024374788		1688850024374788	\N	\N	\N
20191223	1688850024382949		1688850024382949	\N	\N	\N
20191224	1688850024410051		1688850024410051	\N	\N	\N
20191224	1688850024410051		1688850024410051	\N	\N	\N
20191223	1688850024412868		1688850024412868	1688850024412868	1688850024412868	1688850024412868
20191223	1688850024412868		1688850024412868	1688850024412868	1688850024412868	1688850024412868
20191223	1688850024414055		1688850024414055	1688850024414055	\N	1688850024414055
20191223	1688850026372688		1688850026372688	\N	\N	\N
20191224	1688850026455131		1688850026455131	\N	\N	1688850026455131
20191224	1688850026455131		1688850026455131	\N	\N	1688850026455131
20191224	1688850028292861		1688850028292861	\N	\N	\N
20191224	1688850028292861		1688850028292861	\N	\N	\N
20191223	1688850029296059		1688850029296059	\N	1688850029296059	\N
20191223	1688850029480953		\N	\N	\N	\N
20191224	1688850030314201		1688850030314201	\N	\N	\N
20191224	1688850030314201		1688850030314201	\N	\N	\N
20191224	1688850031459995		1688850031459995	\N	\N	\N
20191224	1688850031459995		1688850031459995	\N	\N	\N
20191224	1688850031668754		1688850031668754	\N	\N	\N
20191224	1688850038344739		1688850038344739	\N	\N	1688850038344739
20191224	1688850038344739		1688850038344739	\N	\N	1688850038344739
20191224	1688850038972631		1688850038972631	\N	\N	\N
20191224	1688850039450012		1688850039450012	\N	\N	\N
20191223	1688850041668996		\N	\N	\N	\N
20191224	1688850041669386		1688850041669386	\N	\N	\N
20191224	1688850041669386		1688850041669386	\N	\N	\N
20191224	1688850043427720		1688850043427720	\N	\N	\N
20191224	1688850043427720		1688850043427720	\N	\N	\N
20191224	1688850043427720		1688850043427720	\N	\N	\N
20191224	1688850043427720		1688850043427720	\N	\N	\N
20191224	1688850043430611		1688850043430611	\N	\N	\N
20191224	1688850043430611		1688850043430611	\N	\N	\N
20191223	1688850044447894		\N	\N	\N	\N
20191224	1688850045405715		1688850045405715	\N	\N	\N
20191223	1688850046391545		\N	\N	\N	\N
20191223	1688850046526402		\N	\N	\N	\N
20191223	1688850046710105		\N	\N	\N	\N
20191223	1688850046710218		\N	\N	1688850046710218	\N
20191223	1688850046710375		1688850046710375	\N	\N	\N
20191224	1688850046711137		1688850046711137	\N	\N	\N
20191224	1688850046711709		1688850046711709	\N	\N	\N
20191223	1688850048383097		1688850048383097	\N	\N	\N
